Time (min),Temperature (°C),Weight (mg),Weight (%)
0.08,22.62,13.648,100.085
0.25,22.61,13.649,100.091
0.42,22.6,13.648,100.085
0.58,22.6,13.647,100.079
0.75,22.62,13.646,100.072
0.92,22.73,13.645,100.065
1.08,22.94,13.644,100.057
1.25,23.2,13.643,100.048
1.42,23.52,13.642,100.039
1.58,23.86,13.641,100.03
1.75,24.23,13.639,100.021
1.92,24.61,13.638,100.012
2.08,24.99,13.637,100.003
2.25,25.39,13.636,99.994
2.42,25.79,13.634,99.985
2.58,26.19,13.633,99.976
2.75,26.58,13.632,99.966
2.92,26.96,13.631,99.957
3.08,27.34,13.63,99.948
3.25,27.7,13.628,99.939
3.42,28.06,13.627,99.93
3.58,28.42,13.626,99.921
3.75,28.77,13.625,99.912
3.92,29.12,13.623,99.902
4.08,29.47,13.622,99.893
4.25,29.82,13.621,99.884
4.42,30.17,13.619,99.874
4.58,30.51,13.618,99.865
4.75,30.85,13.617,99.856
4.92,31.18,13.616,99.847
5.08,31.51,13.614,99.837
5.25,31.83,13.613,99.828
5.42,32.16,13.612,99.819
5.58,32.49,13.611,99.809
5.75,32.82,13.609,99.8
5.92,33.15,13.608,99.791
6.08,33.48,13.607,99.782
6.25,33.8,13.606,99.772
6.42,34.13,13.604,99.763
6.58,34.46,13.603,99.754
6.75,34.78,13.602,99.744
6.92,35.11,13.6,99.735
7.08,35.43,13.599,99.726
7.25,35.76,13.598,99.716
7.42,36.11,13.597,99.706
7.58,36.45,13.595,99.697
7.75,36.77,13.594,99.687
7.92,37.09,13.593,99.677
8.08,37.43,13.591,99.667
8.25,37.77,13.59,99.657
8.42,38.11,13.589,99.648
8.58,38.44,13.587,99.638
8.75,38.79,13.586,99.627
8.92,39.13,13.584,99.617
9.08,39.47,13.583,99.607
9.25,39.79,13.582,99.596
9.42,40.12,13.58,99.586
9.58,40.46,13.579,99.576
9.75,40.79,13.577,99.565
9.92,41.12,13.576,99.555
10.08,41.45,13.574,99.544
10.25,41.78,13.573,99.534
10.42,42.1,13.572,99.523
10.58,42.44,13.57,99.512
10.75,42.76,13.569,99.501
10.92,43.09,13.567,99.491
11.08,43.43,13.566,99.48
11.25,43.77,13.564,99.469
11.42,44.12,13.563,99.458
11.58,44.45,13.561,99.447
11.75,44.78,13.56,99.436
11.92,45.11,13.558,99.424
12.08,45.44,13.557,99.413
12.25,45.77,13.555,99.402
12.42,46.1,13.553,99.391
12.58,46.43,13.552,99.379
12.75,46.76,13.55,99.368
12.92,47.1,13.549,99.356
13.08,47.44,13.547,99.344
13.25,47.77,13.546,99.333
13.42,48.1,13.544,99.321
13.58,48.43,13.542,99.309
13.75,48.75,13.541,99.298
13.92,49.08,13.539,99.286
14.08,49.41,13.538,99.274
14.25,49.74,13.536,99.262
14.42,50.07,13.534,99.25
14.58,50.4,13.533,99.238
14.75,50.74,13.531,99.225
14.92,51.07,13.529,99.213
15.08,51.41,13.528,99.201
15.25,51.74,13.526,99.189
15.42,52.07,13.524,99.176
15.58,52.39,13.523,99.164
15.75,52.72,13.521,99.151
15.92,53.06,13.519,99.139
16.08,53.39,13.517,99.126
16.25,53.72,13.516,99.113
16.42,54.05,13.514,99.101
16.58,54.37,13.512,99.088
16.75,54.7,13.51,99.075
16.92,55.03,13.509,99.062
17.08,55.36,13.507,99.049
17.25,55.69,13.505,99.036
17.42,56.02,13.503,99.023
17.58,56.34,13.502,99.01
17.75,56.67,13.5,98.997
17.92,57,13.498,98.984
18.08,57.34,13.496,98.97
18.25,57.66,13.494,98.957
18.42,58,13.492,98.943
18.58,58.33,13.491,98.93
18.75,58.66,13.489,98.916
18.92,58.99,13.487,98.902
19.08,59.33,13.485,98.889
19.25,59.65,13.483,98.875
19.42,59.98,13.481,98.861
19.58,60.31,13.479,98.848
19.75,60.63,13.478,98.834
19.92,60.96,13.476,98.82
20.08,61.29,13.474,98.806
20.25,61.62,13.472,98.792
20.42,61.96,13.47,98.778
20.58,62.3,13.468,98.764
20.75,62.64,13.466,98.75
20.92,62.96,13.464,98.737
21.08,63.29,13.462,98.722
21.25,63.62,13.46,98.708
21.42,63.95,13.458,98.694
21.58,64.27,13.457,98.68
21.75,64.6,13.455,98.666
21.92,64.92,13.453,98.652
22.08,65.25,13.451,98.638
22.25,65.58,13.449,98.623
22.42,65.91,13.447,98.609
22.58,66.23,13.445,98.595
22.75,66.55,13.443,98.58
22.92,66.88,13.441,98.566
23.08,67.22,13.439,98.552
23.25,67.55,13.437,98.537
23.42,67.88,13.435,98.522
23.58,68.21,13.433,98.508
23.75,68.55,13.431,98.493
23.92,68.88,13.429,98.479
24.08,69.21,13.427,98.464
24.25,69.52,13.425,98.45
24.42,69.84,13.423,98.435
24.58,70.16,13.421,98.421
24.75,70.49,13.419,98.406
24.92,70.82,13.417,98.391
25.08,71.15,13.415,98.376
25.25,71.49,13.413,98.361
25.42,71.82,13.411,98.347
25.58,72.14,13.409,98.332
25.75,72.47,13.407,98.317
25.92,72.79,13.405,98.302
26.08,73.13,13.403,98.287
26.25,73.47,13.401,98.272
26.42,73.8,13.399,98.257
26.58,74.13,13.397,98.242
26.75,74.45,13.395,98.227
26.92,74.77,13.393,98.212
27.08,75.09,13.391,98.197
27.25,75.41,13.389,98.182
27.42,75.74,13.387,98.167
27.58,76.06,13.385,98.152
27.75,76.39,13.383,98.137
27.92,76.73,13.381,98.122
28.08,77.06,13.378,98.107
28.25,77.4,13.376,98.092
28.42,77.73,13.374,98.076
28.58,78.05,13.372,98.061
28.75,78.38,13.37,98.046
28.92,78.7,13.368,98.031
29.08,79.03,13.366,98.016
29.25,79.35,13.364,98.001
29.42,79.68,13.362,97.986
29.58,80.01,13.36,97.971
29.75,80.33,13.358,97.955
29.92,80.66,13.356,97.94
30.08,80.98,13.354,97.925
30.25,81.31,13.352,97.91
30.42,81.63,13.349,97.895
30.58,81.95,13.347,97.88
30.75,82.29,13.345,97.864
30.92,82.62,13.343,97.849
31.08,82.94,13.341,97.834
31.25,83.27,13.339,97.819
31.42,83.6,13.337,97.803
31.58,83.93,13.335,97.788
31.75,84.25,13.333,97.773
31.92,84.58,13.331,97.758
32.08,84.91,13.329,97.743
32.25,85.24,13.327,97.727
32.42,85.57,13.325,97.712
32.58,85.89,13.322,97.697
32.75,86.21,13.32,97.682
32.92,86.53,13.318,97.667
33.08,86.86,13.316,97.651
33.25,87.19,13.314,97.636
33.42,87.51,13.312,97.621
33.58,87.84,13.31,97.606
33.75,88.17,13.308,97.591
33.92,88.49,13.306,97.575
34.08,88.83,13.304,97.56
34.25,89.16,13.302,97.545
34.42,89.49,13.3,97.53
34.58,89.81,13.298,97.515
34.75,90.14,13.296,97.5
34.92,90.46,13.294,97.485
35.08,90.79,13.292,97.47
35.25,91.11,13.289,97.455
35.42,91.44,13.287,97.44
35.58,91.77,13.285,97.425
35.75,92.11,13.283,97.41
35.92,92.44,13.281,97.395
36.08,92.77,13.279,97.379
36.25,93.09,13.277,97.365
36.42,93.41,13.275,97.35
36.58,93.73,13.273,97.335
36.75,94.05,13.271,97.32
36.92,94.38,13.269,97.305
37.08,94.71,13.267,97.291
37.25,95.03,13.265,97.276
37.42,95.36,13.263,97.261
37.58,95.68,13.261,97.247
37.75,96,13.259,97.232
37.92,96.33,13.257,97.217
38.08,96.66,13.255,97.203
38.25,96.99,13.253,97.188
38.42,97.31,13.251,97.174
38.58,97.64,13.249,97.159
38.75,97.97,13.247,97.144
38.92,98.3,13.245,97.13
39.08,98.63,13.243,97.116
39.25,98.95,13.241,97.101
39.42,99.28,13.239,97.087
39.58,99.6,13.237,97.073
39.75,99.93,13.235,97.059
39.92,100.26,13.234,97.044
40.08,100.58,13.232,97.03
40.25,100.91,13.23,97.016
40.42,101.23,13.228,97.002
40.58,101.56,13.226,96.988
40.75,101.88,13.224,96.974
40.92,102.21,13.222,96.96
41.08,102.53,13.22,96.946
41.25,102.86,13.218,96.932
41.42,103.19,13.216,96.918
41.58,103.52,13.214,96.904
41.75,103.84,13.213,96.89
41.92,104.16,13.211,96.877
42.08,104.49,13.209,96.863
42.25,104.82,13.207,96.85
42.42,105.15,13.205,96.836
42.58,105.48,13.203,96.823
42.75,105.8,13.202,96.81
42.92,106.13,13.2,96.796
43.08,106.47,13.198,96.783
43.25,106.79,13.196,96.769
43.42,107.12,13.194,96.756
43.58,107.45,13.192,96.743
43.75,107.78,13.191,96.73
43.92,108.1,13.189,96.717
44.08,108.43,13.187,96.704
44.25,108.75,13.185,96.691
44.42,109.07,13.184,96.679
44.58,109.4,13.182,96.666
44.75,109.72,13.18,96.653
44.92,110.05,13.178,96.641
45.08,110.37,13.177,96.628
45.25,110.68,13.175,96.616
45.42,111.01,13.173,96.603
45.58,111.34,13.172,96.591
45.75,111.66,13.17,96.579
45.92,111.98,13.168,96.566
46.08,112.31,13.167,96.554
46.25,112.64,13.165,96.542
46.42,112.96,13.163,96.53
46.58,113.29,13.162,96.518
46.75,113.61,13.16,96.506
46.92,113.94,13.159,96.495
47.08,114.26,13.157,96.483
47.25,114.59,13.155,96.471
47.42,114.92,13.154,96.459
47.58,115.25,13.152,96.448
47.75,115.58,13.151,96.436
47.92,115.9,13.149,96.425
48.08,116.22,13.147,96.413
48.25,116.56,13.146,96.402
48.42,116.89,13.144,96.391
48.58,117.21,13.143,96.38
48.75,117.54,13.141,96.369
48.92,117.86,13.14,96.357
49.08,118.18,13.138,96.347
49.25,118.5,13.137,96.336
49.42,118.83,13.135,96.325
49.58,119.17,13.134,96.314
49.75,119.5,13.132,96.303
49.92,119.83,13.131,96.293
50.08,120.16,13.13,96.282
50.25,120.48,13.128,96.272
50.42,120.8,13.127,96.261
50.58,121.12,13.125,96.251
50.75,121.44,13.124,96.241
50.92,121.77,13.123,96.231
51.08,122.1,13.121,96.221
51.25,122.41,13.12,96.211
51.42,122.73,13.119,96.201
51.58,123.06,13.117,96.191
51.75,123.38,13.116,96.181
51.92,123.71,13.115,96.172
52.08,124.03,13.113,96.162
52.25,124.36,13.112,96.153
52.42,124.69,13.111,96.143
52.58,125.02,13.109,96.134
52.75,125.35,13.108,96.124
52.92,125.68,13.107,96.115
53.08,126.02,13.106,96.106
53.25,126.35,13.104,96.097
53.42,126.67,13.103,96.088
53.58,126.99,13.102,96.079
53.75,127.31,13.101,96.07
53.92,127.63,13.099,96.061
54.08,127.96,13.098,96.052
54.25,128.28,13.097,96.044
54.42,128.61,13.096,96.035
54.58,128.93,13.095,96.027
54.75,129.27,13.094,96.018
54.92,129.59,13.092,96.01
55.08,129.9,13.091,96.002
55.25,130.22,13.09,95.994
55.42,130.55,13.089,95.986
55.58,130.87,13.088,95.978
55.75,131.2,13.087,95.97
55.92,131.53,13.086,95.962
56.08,131.85,13.085,95.954
56.25,132.18,13.084,95.946
56.42,132.51,13.083,95.938
56.58,132.85,13.082,95.93
56.75,133.18,13.081,95.923
56.92,133.5,13.08,95.915
57.08,133.82,13.079,95.908
57.25,134.15,13.078,95.9
57.42,134.47,13.077,95.893
57.58,134.79,13.076,95.886
57.75,135.12,13.075,95.878
57.92,135.45,13.074,95.871
58.08,135.77,13.073,95.864
58.25,136.09,13.072,95.857
58.42,136.41,13.071,95.85
58.58,136.74,13.07,95.843
58.75,137.08,13.069,95.836
58.92,137.4,13.068,95.829
59.08,137.72,13.067,95.822
59.25,138.04,13.066,95.816
59.42,138.37,13.065,95.809
59.58,138.69,13.064,95.802
59.75,139.01,13.063,95.796
59.92,139.33,13.062,95.789
60.08,139.66,13.062,95.783
60.25,139.99,13.061,95.777
60.42,140.31,13.06,95.77
60.58,140.63,13.059,95.764
60.75,140.96,13.058,95.758
60.92,141.28,13.057,95.751
61.08,141.62,13.056,95.745
61.25,141.94,13.055,95.738
61.42,142.26,13.055,95.732
61.58,142.58,13.054,95.726
61.75,142.91,13.053,95.72
61.92,143.24,13.052,95.714
62.08,143.57,13.051,95.708
62.25,143.9,13.05,95.702
62.42,144.23,13.05,95.696
62.58,144.55,13.049,95.69
62.75,144.88,13.048,95.684
62.92,145.21,13.047,95.678
63.08,145.53,13.046,95.673
63.25,145.85,13.046,95.667
63.42,146.17,13.045,95.661
63.58,146.5,13.044,95.656
63.75,146.82,13.043,95.65
63.92,147.14,13.043,95.644
64.08,147.46,13.042,95.639
64.25,147.79,13.041,95.633
64.42,148.12,13.04,95.628
64.58,148.45,13.04,95.622
64.75,148.79,13.039,95.616
64.92,149.11,13.038,95.611
65.08,149.43,13.037,95.605
65.25,149.76,13.037,95.6
65.42,150.09,13.036,95.594
65.58,150.42,13.035,95.589
65.75,150.74,13.034,95.583
65.92,151.06,13.034,95.578
66.08,151.38,13.033,95.573
66.25,151.71,13.032,95.568
66.42,152.04,13.031,95.562
66.58,152.37,13.031,95.557
66.75,152.69,13.03,95.552
66.92,153.02,13.029,95.546
67.08,153.35,13.029,95.541
67.25,153.67,13.028,95.536
67.42,153.99,13.027,95.531
67.58,154.3,13.026,95.526
67.75,154.62,13.026,95.52
67.92,154.95,13.025,95.515
68.08,155.28,13.024,95.51
68.25,155.61,13.024,95.505
68.42,155.93,13.023,95.5
68.58,156.26,13.022,95.494
68.75,156.58,13.021,95.489
68.92,156.9,13.021,95.484
69.08,157.22,13.02,95.479
69.25,157.54,13.019,95.474
69.42,157.88,13.019,95.469
69.58,158.22,13.018,95.464
69.75,158.55,13.017,95.459
69.92,158.88,13.017,95.454
70.08,159.2,13.016,95.449
70.25,159.52,13.015,95.444
70.42,159.85,13.015,95.438
70.58,160.17,13.014,95.433
70.75,160.49,13.013,95.428
70.92,160.8,13.012,95.423
71.08,161.12,13.012,95.418
71.25,161.44,13.011,95.413
71.42,161.77,13.01,95.408
71.58,162.1,13.01,95.403
71.75,162.42,13.009,95.398
71.92,162.76,13.008,95.393
72.08,163.09,13.008,95.388
72.25,163.41,13.007,95.383
72.42,163.73,13.006,95.378
72.58,164.06,13.006,95.373
72.75,164.39,13.005,95.368
72.92,164.7,13.004,95.363
73.08,165.03,13.004,95.358
73.25,165.35,13.003,95.353
73.42,165.68,13.002,95.348
73.58,166.01,13.001,95.343
73.75,166.33,13.001,95.338
73.92,166.65,13,95.333
